Date;Close;High;Low;Open;Log_Returns
11/10/2025;5361.03;5365.77;5361.03;5365.77;0.04206413158472801
11/07/2025;5156.45;5186.57;4902.69;4944.04;-0.038907762573232654
11/06/2025;5032.32;5036.16;5032.32;5035.85;-0.024367247846452212
11/05/2025;5107.5;5107.5;5103.0;5103.0;0.014828937328680679
11/04/2025;4881.39;4884.99;4881.39;4884.99;-0.0452800323371011
11/03/2025;5320.15;5320.15;5318.23;5318.23;0.0860714830722505
10/31/2025;5529.81;5591.39;5460.69;5543.88;0.038651958452186684
10/30/2025;5461.06;5462.95;5461.06;5462.95;-0.012510546788597724
10/29/2025;5585.18;5585.18;5584.05;5584.61;0.02247375107875454
10/28/2025;5696.5;5697.54;5696.5;5697.54;0.019735289968900487
10/27/2025;5796.46;5797.02;5796.46;5797.02;0.01739543523252632
10/24/2025;5606.4;5631.84;5538.4;5625.1;-0.03333858406867928
10/23/2025;5540.18;5540.18;5539.0;5539.28;-0.011881811113779034
10/22/2025;5415.63;5415.63;5414.98;5414.98;-0.022737774030221796
10/21/2025;5456.82;5456.82;5453.38;5453.38;0.007576985327513422
10/20/2025;5587.49;5588.23;5587.49;5587.93;0.02366396772552027
10/17/2025;5412.59;5429.85;5262.58;5315.01;-0.03180244886303204
10/16/2025;5476.71;5476.71;5473.58;5473.58;0.0117768343393306
10/15/2025;5604.6;5604.6;5602.77;5602.77;0.02308313341950918
10/14/2025;5725.53;5725.53;5718.41;5718.41;0.021347432449864066
10/13/2025;5879.29;5882.69;5879.29;5882.69;0.026500884745967904
10/10/2025;5710.8;6238.99;5319.82;6206.97;-0.02907688738762495
10/09/2025;6184.15;6206.75;6192.25;6205.96;0.07963044820290728
10/08/2025;6294.55;6298.12;6294.55;6298.12;0.017694612499480834
10/07/2025;6217.55;6219.35;6217.3;6219.35;-0.012308241154777843
10/06/2025;6414.11;6415.8;6414.11;6415.8;0.031124312627774722
10/03/2025;6312.35;6389.47;6159.77;6212.67;-0.015992219165402045
10/02/2025;6218.48;6218.48;6217.78;6217.78;-0.014982528046121213
10/01/2025;6115.96;6115.96;6111.77;6115.31;-0.016623756073728794
09/30/2025;5843.62;5846.58;5843.62;5846.58;-0.04555128000495141
09/29/2025;5876.95;5876.95;5876.42;5876.42;0.005687452034167586
09/26/2025;5645.79;5684.17;5551.44;5594.35;-0.04012778518667495
09/25/2025;5594.26;5598.0;5594.26;5597.56;-0.009169062596238297
09/24/2025;5830.04;5831.92;5830.04;5831.92;0.04128278933296504
09/23/2025;5802.15;5802.15;5801.66;5801.85;-0.004795322883218895
09/22/2025;5838.86;5839.61;5838.77;5838.77;0.006307033786504155
09/19/2025;6048.01;6174.7;6015.85;6081.14;0.03519372000940428
09/18/2025;6161.97;6162.15;6161.85;6162.15;0.01866723929843406
09/17/2025;6113.18;6113.77;6111.44;6111.44;-0.007949435556237136
09/16/2025;6096.24;6096.24;6095.74;6095.74;-0.0027749083691111917
09/15/2025;6019.47;6019.47;6018.97;6018.97;-0.012672972110220617
9/12/2025;6127.7;6150.73;6024.96;6037.22;0.01782026004846456
9/11/2025;6049.81;6049.81;6048.25;6048.25;-0.012792609035421506
9/10/2025;5936.17;5936.17;5934.82;5934.82;-0.018962722321913945
9/09/2025;5823.39;5890.39;5792.47;5804.18;-0.019181577871129816
9/08/2025;5863.71;0.0;0.0;5777.66;0.006899942666155691
9/05/2025;5749.81;5905.9;5724.34;5888.5;-0.019615698278987827
9/04/2025;5746.84;5746.84;5745.94;5745.94;-0.0005166722594965552
9/03/2025;5855.63;5857.34;5855.63;5857.34;0.018753453077213593
9/02/2025;5809.22;5813.09;5809.22;5813.09;-0.00795728104233664
08/29/2025;5617.21;5763.33;5588.01;5646.14;-0.033611211203741276
08/28/2025;5913.91;5913.91;5909.12;5909.12;0.05147210383131943
08/27/2025;5833.25;5833.25;5832.07;5832.11;-0.013732896742977823
08/26/2025;5866.89;5866.89;5866.52;5866.52;0.005750374388208599
08/25/2025;5720.44;5720.44;5717.43;5717.43;-0.025278955323038393
08/22/2025;6127.93;6163.38;5736.96;5775.61;0.06881128388634476
08/21/2025;5799.18;5801.22;5799.03;5801.18;-0.05514048114951415
08/20/2025;5889.05;5889.05;5888.69;5888.8;0.015378166085199797
08/19/2025;5773.61;5773.61;5771.19;5771.19;-0.019797159536189837
08/18/2025;5963.39;5966.13;5963.39;5966.13;0.03234157652669922
08/15/2025;6057.02;6200.03;6006.41;6153.46;0.015578818635286356
08/14/2025;6124.13;6124.94;6124.13;6124.44;0.011018775567684385
08/13/2025;6427.73;6427.73;6423.83;6423.83;0.048384737733707356
8/12/2025;6212.39;6212.42;6212.06;6212.06;-0.03407575823085403
