Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume
18/08/2025;8.979.900.360.107.420;9.092.385.260.294.440;897.094.172.852.296;9.018.722.615.900.440;6353200;-0.005196525335937489;5.705.110.296.783.440
19/08/2025;8.839.543.151.855.460;8.935.105.686.104.380;8.819.633.815.888.910;8.926.146.295.053.560;8271800;-0.015753590836384095;7.311.893.304.351.800
20/08/2025;8.881.351.470.947.260;889.628.328.280.875;8.777.825.204.028.070;8.814.656.905.357.930;7956400;0.00471854243843627;7.066.358.484.344.480
21/08/2025;8.951.032.257.080.070;8.961.982.201.826.570;8.782.802.737.677.800;8.820.629.336.234.390;8439100;0.00781512352449114;7.553.865.632.072.440
22/08/2025;9.050.576.782.226.560;9.156.094.364.019.950;8.955.014.248.132.110;8.987.864.082.826.190;9891300;0.011059626901016147;895.219.701.260.376
25/08/2025;8.838.546.752.929.680;9.076.457.791.639.750;8.819.633.075.215.710;9.046.594.169.929.630;8513200;-0.02370601985336409;7.524.431.621.704.100
26/08/2025;8.949.041.748.046.870;895.401.851.238.888;8.830.583.668.539.980;8.866.419.713.441.840;6180600;0.012423990626990197;5.531.044.742.797.850
27/08/2025;898.786.392.211.914;900.677.760.105.273;8.923.159.910.550.510;8.938.091.722.368.420;5737100;0.004328754960007495;5.156.427.410.758.970
28/08/2025;898.786.392.211.914;9.071.480.853.157.850;8.961.982.165.598.990;899.682.255.353.179;4462900;0.0;4.011.193.789.802.550
29/08/2025;8.944.063.568.115.230;9.026.685.596.659.210;8.892.300.817.867.300;8.982.885.820.667.040;5049800;-0.0048851905224348395;4.516.573.220.626.830
2/09/2025;9.245.683.288.574.210;9.308.396.744.528.000;9.068.494.384.029.730;9.087.408.062.423.850;14515200;0.03316674735891138;1.342.029.420.703.120
3/09/2025;9.322.332.763.671.870;9.442.781.390.745.040;9.218.806.501.513.830;9.264.596.832.176.590;9128600;0.008256122816058567;8.509.984.686.645.500
4/09/2025;9.304.415.130.615.230;9.354.187.330.300.160;9.206.861.285.068.830;9.316.359.972.482.980;7801200;-0.0019238611790728547;7.258.560.331.695.550
5/09/2025;950.350.341.796.875;952.142.143.926.969;9.327.309.415.265.580;9.329.300.728.445.380;13163100;0.02117147873157758;12.509.556.584.106.400
8/09/2025;9.399.977.111.816.400;946.468.111.950.635;933.726.441.729.668;9.454.726.832.045.610;10459300;-0.010953257102525177;9.831.718.060.562.130
9/09/2025;9.454.727.172.851.560;9.455.722.070.009.080;9.323.328.599.028.500;9.396.991.240.249.320;6725100;0.005807592003904632;6.358.398.571.014.400
10/09/2025;934.721.908.569.336;9.485.585.737.587.850;9.307.401.174.764.230;9.473.640.136.470.070;10477300;-0.011435971292456451;9.793.361.852.653.500
11/09/2025;9.526.398.468.017.570;9.530.380.335.024.370;9.338.259.618.861.300;9.356.177.640.660.160;7953900;0.018987855953600908;7.577.202.077.476.500
12/09/2025;9.369.119.262.695.310;9.521.422.074.177.440;9.366.132.292.726.430;9.498.526.527.863.730;9366000;-0.016647634635815308;877.511.710.144.043
15/09/2025;9.300.433.349.609.370;940.196.830.374.272;9.221.793.182.243.500;9.365.137.361.691.520;9160400;-0.007358100583272024;8.519.568.965.576.170
16/09/2025;9.331.291.961.669.920;9.370.114.217.405.100;9.283.511.074.363.620;9.310.387.728.540.470;6439800;0.0033124833864229862;6.009.165.397.476.190
17/09/2025;933.427.734.375;9.537.347.995.437.430;9.306.405.035.384.480;9.363.145.308.689.540;15125300;0.0003198811733716208;14.118.374.510.742.100
18/09/2025;9.623.951.721.191.400;9.628.929.244.510.710;9.427.849.150.040.290;9.435.812.883.565.810;9284900;0.030561601792884797;8.935.742.933.609.000
19/09/2025;9.516.444.396.972.650;9.659.788.574.628.230;9.493.549.610.491.460;9.654.811.050.890.500;7144100;-0.01123367083207591;6.798.643.041.641.230
22/09/2025;968.840.560.913.086;9.724.251.773.809.440;9.493.242.819.357.210;9.557.965.103.342.330;11373600;0.017908581216725932;11.019.205.003.601.000
23/09/2025;9.635.631.561.279.290;9.733.212.956.379.050;9.620.696.292.362.260;9.667.494.734.432.240;7122400;-0.005462024171232979;6.862.882.223.205.560
24/09/2025;970.234.603.881.836;9.765.076.449.358.340;9.656.542.773.390.720;9.684.422.955.852.930;9202600;0.00689986756609392;8.928.680.965.682.980
25/09/2025;954.502.182.006.836;9.656.543.315.860.080;9.533.072.844.194.160;9.633.641.302.020.710;9148300;-0.016347972742118126;8.732.072.311.653.130
26/09/2025;975.312.728.881.836;9.758.106.218.311.130;9.545.021.102.481.440;9.586.841.375.380.050;12363300;0.021568237956484663;12.058.083.860.984.800
29/09/2025;9.897.508.239.746.090;9.906.469.401.538.300;9.759.102.503.316.540;979.096.567.804.109;9957300;0.014695051353252431;9.855.245.879.562.370
30/09/2025;9.977.165.985.107.420;10.010.025.098.321.900;9.844.735.113.716.790;9.899.499.542.729.720;12913900;0.00801604806268925;12.884.412.381.507.800
1/10/2025;10.095.657.348.632.800;10.171.332.673.593.800;9.968.204.649.547.690;9.968.204.649.547.690;9736200;0.011806285335345848;9.829.333.907.775.870
2/10/2025;10.215.144.348.144.500;10.216.140.286.043.200;10.057.820.345.655.700;10.120.550.759.071.400;8601200;0.011765993264088285;8.786.249.956.726.070
3/10/2025;1.031.571.273.803.710;10.365.498.997.158.500;10.235.059.241.357.200;10.254.973.441.134.600;12886500;0.009796882209001876;1.329.334.321.987.150
6/10/2025;10.319.695.281.982.400;10.406.323.642.577.600;10.300.776.261.240.500;10.367.490.422.922.700;7956100;0.00038599130105839596;8.210.452.763.298.030
7/10/2025;10.323.678.588.867.100;10.360.520.693.626.700;1.021.116.191.818.570;10.341.601.672.307.200;6746400;0.00038591627116026556;6.964.766.523.193.350
8/10/2025;10.498.926.544.189.400;10.607.460.224.196.700;10.329.652.807.731.400;10.385.413.934.409.300;11850000;0.016832869101558467;12.441.227.954.864.500
9/10/2025;10.606.464.385.986.300;10.680.148.596.989.200;10.531.784.996.761.900;10.540.746.918.501.400;12143500;0.010190644920501183;12.879.960.027.122.400
10/10/2025;10.454.118.347.167.900;10.662.225.302.731.400;10.368.485.921.773.300;10.655.255.256.928.500;16973100;-0.014467661989828602;17.743.879.611.831.600
13/10/2025;10.481.998.443.603.500;1.054.074.662.318;10.400.349.010.726.200;10.467.063.173.919.500;10190500;0.0026633509159934114;10.681.680.513.954.100
14/10/2025;10.467.063.903.808.500;10.555.683.388.610.700;10.298.786.096.639.600;10.368.486.558.952.000;7819800;-0.0014257957780906755;8.185.034.631.500.240
15/10/2025;10.790.673.828.125;1.081.556.695.711.510;10.491.956.280.243.400;10.505.896.371.703.600;11955900;0.030448670517568412;12.901.221.722.167.900
16/10/2025;1.074.487.075.805.660;11.048.566.481.472.300;10.653.263.464.345.600;10.922.109.718.152.700;17515100;-0.004253724715351589;18.819.748.581.443.700
17/10/2025;10.733.917.236.328.100;10.837.471.981.631.100;10.604.472.665.182.400;107.040.451.784.705;9981100;-0.001019938618597571;10.713.630.132.751.400
20/10/2025;10.969.904.327.392.500;1.100.674.643.321.390;10.787.686.433.780.200;10.836.477.515.465.200;8697800;0.02174698965127881;9.541.403.385.879.510
21/10/2025;1.090.916.519.165.030;11.006.746.596.792.700;10.861.370.806.841.100;10.965.921.498.410.000;6792800;-0.005552273758880388;7.410.377.731.384.270
