Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume;Bid_Ask_Spread;Capitalizacion_Mercado
25/03/2023;2.749.470.703.125;27.791.826.171.875;27.196.234.375;27.487.337.890.625;13383005987;5,17E+10;367961828810029.75;595.591.796.875;367961828810029.75
26/03/2023;27.994.330.078.125;2.817.814.453.125;27.445.046.875;274.955.234.375;13878363192;0.01800847790347154;388515480140948.5;73.309.765.625;388515480140948.5
27/03/2023;27.139.888.671.875;2.803.792.578.125;26.606.689.453.125;27.994.068.359.375;18188895178;-0.030997440056033318;493644590195324.0;1.431.236.328.125;493644590195324.0
28/03/2023;27.268.130.859.375;2.746.071.875;26.677.818.359.375;27.132.888.671.875;17783600385;0.004714100093914092;484925542449011.6;782.900.390.625;484925542449011.6
29/03/2023;2.834.844.140.625;2.861.954.296.875;27.259.662.109.375;2.726.703.125;20684945906;0.03885339931269162;586385977007691.9;1.359.880.859.375;586385977007691.9
30/03/2023;280.335.625;2.915.990.234.375;2.772.016.015.625;28.350.140.625;22435349951;-0.011169598741333131;628942785060730.5;14.397.421.875;628942785060730.5
31/03/2023;28.478.484.375;28.639.896.484.375;2.758.371.484.375;2.803.226.171.875;19001327598;0.015746414888453637;541129011103899.25;1.056.181.640.625;541129011103899.25
1/04/2023;2.841.103.515.625;2.880.245.703.125;28.297.171.875;2.847.333.203.125;10876469901;-0.0023712364214005313;309011768733205.94;50.528.515.625;309011768733205.94
2/04/2023;2.819.930.859.375;28.518.958.984.375;27.884.087.890.625;28.462.845.703.125;12284641999;-0.007480171844976413;346418410693542.9;63.487.109.375;346418410693542.9
3/04/2023;27.790.220.703.125;28.475.623.046.875;27.276.720.703.125;28.183.080.078.125;19556501327;-0.014613274150394037;543479488058286.94;119.890.234.375;543479488058286.94
4/04/2023;2.816.808.984.375;284.337.421.875;276.813.046.875;277.952.734.375;15284538859;0.01350558587463783;430536263800600.1;7.524.375;430536263800600.1
5/04/2023;28.177.984.375;2.873.923.828.125;27.843.763.671.875;281.697.265.625;17052315986;0.0003512057047058866;480499893411070.75;895.474.609.375;480499893411070.75
6/04/2023;28.044.140.625;28.178.384.765.625;27.738.759.765.625;281.752.265.625;13837809380;-0.004761257346579407;388069472194664.06;439.625;388069472194664.06
7/04/2023;27.925.859.375;2.811.159.375;2.779.403.125;28.038.966.796.875;10861680497;-0.00422660089629551;303321762135402.1;3.175.625;303321762135402.1
8/04/2023;27.947.794.921.875;2.815.986.328.125;2.788.338.671.875;27.920.513.671.875;9373255556;0.0007851839396583646;261961824029413.44;2.764.765.625;261961824029413.44
9/04/2023;2.833.305.078.125;28.532.830.078.125;2.782.848.046.875;279.523.671.875;12175322951;0.01369069252890777;344964043448801.6;704.349.609.375;344964043448801.6
10/04/2023;2.965.298.046.875;2.977.146.484.375;28.189.271.484.375;2.833.602.734.375;19282400094;0.045533646757390224;571780633378005.1;1.582.193.359.375;571780633378005.1
11/04/2023;3.023.505.859.375;30.509.083.984.375;2.960.930.078.125;296.536.796.875;20121259843;0.019439489564332186;608367470333173.9;899.783.203.125;608367470333173.9
12/04/2023;30.139.052.734.375;3.046.248.046.875;2.972.557.421.875;3.023.158.203.125;18651929926;-0.0031803678161343176;562151499637581.2;73.690.625;562151499637581.2
13/04/2023;3.039.906.640.625;30.539.845.703.125;29.878.623.046.875;29.892.740.234.375;17487721001;0.008590133768281546;531610392003371.75;66.122.265.625;531610392003371.75
14/04/2023;3.048.569.921.875;31.005.607.421.875;30.044.498.046.875;304.095.625;22659995079;0.002845797962018112;690805794276749.1;961.109.375;690805794276749.1
15/04/2023;3.031.849.609.375;30.601.740.234.375;302.458.828.125;30490.75;11940685378;-0.0054997371675221595;362023622989590.75;355.857.421.875;362023622989590.75
16/04/2023;3.031.535.546.875;30.555.537.109.375;3.015.783.203.125;303.159.765.625;12854816417;-0.00010359312238552485;389698329166878.25;397.705.078.125;389698329166878.25
17/04/2023;29.445.044.921.875;30.319.197.265.625;2.927.537.109.375;30.317.146.484.375;17872186762;-0.02912872327682135;526247342059229.7;1.043.826.171.875;526247342059229.7
18/04/2023;30.397.552.734.375;30.470.302.734.375;29.154.849.609.375;29.449.091.796.875;19480529496;0.03183646099781629;592160422648207.6;1.315.453.125;592160422648207.6
19/04/2023;288.226.796.875;304.110.546.875;286.698.984.375;303.941.875;24571565421;-0.05319953662867234;708218359549934.1;174.115.625;708218359549934.1
20/04/2023;2.824.598.828.125;29.076.400.390.625;280.372.578.125;2.882.368.359.375;21340360360;-0.020211126619281063;602779568646212.0;1.039.142.578.125;602779568646212.0
21/04/2023;2.727.691.015.625;2.834.996.875;27.177.365.234.375;2.824.923.046.875;20759504330;-0.034910877271712444;566255134497692.9;1.172.603.515.625;566255134497692.9
22/04/2023;27817.5;27.872.142.578.125;271.695.703.125;2.726.589.453.125;13125734602;0.019624756556398195;365125122291135.0;702.572.265.625;365125122291135.0
23/04/2023;27.591.384.765.625;27.820.244.140.625;27.400.314.453.125;2.781.614.453.125;12785446832;-0.008161741227378502;352768182942153.25;4.199.296.875;352768182942153.25
24/04/2023;2.752.533.984.375;27.979.982.421.875;27.070.849.609.375;2.759.173.046.875;17703288330;-0.0023965485595713668;487289027635143.4;9.091.328.125;487289027635143.4
25/04/2023;2.830.759.765.625;28.371.078.125;27.207.931.640.625;27.514.873.046.875;17733373139;0.02802320777395386;501989191906963.1;1.163.146.484.375;501989191906963.1
