Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume
11/01/2024;4.462.240.234.375;447.266.015.625;44.209.501.953.125;44.707.998.046.875;417000;-0.008901935031495316;1.860.754.177.734.370
12/01/2024;44.727.099.609.375;452.983.984.375;446.785.009.765.625;44.905.400.390.625;281900;0.0023435455431673746;12.608.569.379.882.800
16/01/2024;4.432.240.234.375;444.047.998.046.875;44.027.998.046.875;443.035.009.765.625;308500;-0.009089327687331703;13.673.461.123.046.800
17/01/2024;44.060.400.390.625;441.108.984.375;437.291.015.625;438.941.015.625;302500;-0.005928816749075282;13.328.271.118.164.000
18/01/2024;43.782.900.390.625;439.758.984.375;435.135.009.765.625;4.394.919.921.875;276200;-0.0063180896127777875;12.092.837.087.890.600
19/01/2024;4.396.759.765.625;44.057.099.609.375;434.597.021.484.375;437.789.990.234.375;325200;0.004209606611569862;142.982.627.578.125
22/01/2024;4413.75;44.263.798.828.125;437.635.986.328.125;43.886.298.828.125;358500;0.0038568155277761587;1582329375.0
23/01/2024;443.991.015.625;444.093.994.140.625;439.764.013.671.875;442.891.015.625;292700;0.005909472900113425;1.299.561.702.734.370
24/01/2024;43.927.998.046.875;4.458.330.078.125;43.910.498.046.875;4.458.330.078.125;286800;-0.01066734864000819;1.259.854.983.984.370
25/01/2024;4.424.009.765.625;443.966.015.625;43.992.998.046.875;442.597.021.484.375;276400;0.0070796791167888;122.279.629.921.875
26/01/2024;44.082.099.609.375;4.449.259.765.625;44.067.998.046.875;444.483.984.375;257300;-0.0035777691294687696;11.342.324.229.492.100
29/01/2024;448.181.005.859.375;4.482.830.078.125;43.945.400.390.625;440.660.986.328.125;291000;0.016558293256593828;13.042.067.270.507.800
30/01/2024;444.414.990.234.375;4.460.080.078.125;44.191.298.828.125;445.835.986.328.125;283200;-0.008438393155501675;125.858.325.234.375
31/01/2024;438.506.005.859.375;44.581.298.828.125;438.231.982.421.875;444.239.990.234.375;304800;-0.013385280506047563;1.336.566.305.859.370
1/02/2024;444.102.978.515.625;44.503.798.828.125;437.043.994.140.625;439.006.005.859.375;0;0.012682961042516745;0.0
2/02/2024;4.386.919.921.875;44.054.599.609.375;436.268.017.578.125;440.193.994.140.625;0;-0.012258914632638692;0.0
5/02/2024;438.781.005.859.375;4.399.740.234.375;433.518.994.140.625;43.590.498.046.875;0;0.0002028864076238236;0.0
6/02/2024;4.433.330.078.125;443.452.001.953.125;438.118.994.140.625;43.851.201.171.875;0;0.010320757381379447;0.0
7/02/2024;435.322.998.046.875;441.327.978.515.625;4.352.740.234.375;441.302.978.515.625;0;-0.018232918490269687;0.0
8/02/2024;43.563.798.828.125;436.568.017.578.125;43.225.400.390.625;43.452.099.609.375;0;0.0007233165504603445;0.0
9/02/2024;437.685.986.328.125;438.239.013.671.875;435.518.017.578.125;436.672.021.484.375;0;0.004690130720381098;0.0
12/02/2024;4.418.919.921.875;442.047.021.484.375;43.632.001.953.125;43.652.099.609.375;0;0.009563763579330423;0.0
13/02/2024;43.071.298.828.125;43.523.798.828.125;427.893.017.578.125;434.141.015.625;0;-0.02562354283070643;0.0
14/02/2024;43.635.400.390.625;43.661.201.171.875;43.248.798.828.125;4340.25;0;0.013011901653361392;0.0
15/02/2024;443.143.994.140.625;44.358.798.828.125;43.656.201.171.875;4.370.740.234.375;0;0.015440910964406914;0.0
16/02/2024;441.164.990.234.375;44.466.298.828.125;440.131.005.859.375;441.672.998.046.875;0;-0.004475827442677954;0.0
20/02/2024;438.502.978.515.625;44.317.099.609.375;436.272.021.484.375;439.402.001.953.125;0;-0.006052328695041536;0.0
21/02/2024;439.560.986.328.125;440.618.994.140.625;436.122.021.484.375;43.829.501.953.125;0;0.002409866175788143;0.0
22/02/2024;445.597.998.046.875;447.827.978.515.625;439.593.017.578.125;4.399.080.078.125;0;0.013640725414571814;0.0
