Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume
15/08/2024;554.322.021.484.375;554.622.998.046.875;55.011.298.828.125;55.011.298.828.125;3723310000;0.01600448993130413;20.639.127.258.129.800
16/08/2024;5554.25;556.197.998.046.875;5.525.169.921.875;5530.5;3357690000;0.0019878023683961516;18649449682500.0
19/08/2024;5608.25;56.082.998.046.875;5.550.740.234.375;555.722.998.046.875;3222050000;0.009675327436177775;18070061912500.0
20/08/2024;55.971.201.171.875;5.620.509.765.625;5585.5;56.028.798.828.125;2994420000;-0.001986527237609709;16.760.128.421.308.500
21/08/2024;562.085.009.765.625;563.268.017.578.125;559.156.982.421.875;560.308.984.375;3119670000;0.004230714721006796;17.535.197.424.155.200
22/08/2024;557.064.013.671.875;564.322.021.484.375;55.609.501.953.125;563.777.001.953.125;2981530000;-0.00897294225665722;16.609.030.686.831.000
23/08/2024;563.460.986.328.125;564.181.982.421.875;558.516.015.625;5.602.490.234.375;3291940000;0.01141793740166443;18548797593330.08
26/08/2024;561.683.984.375;56.516.201.171.875;560.233.984.375;563.966.015.625;2938570000;-0.0031587101696058145;16.505.477.059.648.400
27/08/2024;56.257.998.046.875;563.118.017.578.125;559.347.998.046.875;560.289.013.671.875;2798990000;0.0015939251127232035;15.746.557.395.322.200
28/08/2024;559.218.017.578.125;562.702.978.515.625;55.609.501.953.125;5.624.509.765.625;3053450000;-0.005993900794735212;17.075.442.557.739.200
29/08/2024;55.919.599.609.375;56.469.501.953.125;55.837.099.609.375;56.072.998.046.875;3065640000;-3,94E+10;17.142.936.134.648.400
30/08/2024;564.839.990.234.375;56.513.701.171.875;55.817.900.390.625;5.612.740.234.375;4185850000;0.010042457079144168;23.643.354.731.225.500
3/09/2024;552.893.017.578.125;562.389.013.671.875;5.504.330.078.125;562.389.013.671.875;3866350000;-0.021377963372397696;21.376.779.185.131.800
4/09/2024;552.006.982.421.875;5.552.990.234.375;550.366.015.625;550.668.017.578.125;3478140000;-0.0016038290273809634;19.199.575.658.408.200
